# instance    status  value
./Addition_000_Small     =opt=           0  
./Addition_003_Small     =opt=           0  
./Addition_005_Small     =opt=           0  
./Addition_007_Small     =opt=           0  
./Addition_015_Small     =opt=           0  
./Addition_016_Small     =opt=           0  
./Addition_018_Small     =opt=           0  
./Addition_020_Small     =opt=           0  
./Addition_024_Small     =opt=           0  
./Addition_025_Small     =opt=           0  
./Addition_027_Small     =opt=           0  
./Addition_028_Small     =opt=           0  
./Addition_029_Small     =opt=           0  
./Addition_030_Small     =opt=           0  
./Addition_032_Small     =opt=           0  
./Addition_034_Small     =opt=           0  
./Addition_035_Small     =opt=           0  
./Addition_043_Small     =opt=           0  
./Addition_044_Small     =opt=           0  
./Addition_046_Small     =opt=           0  
./Addition_047_Small     =opt=           0  
./Addition_048_Small     =opt=           0  
./Addition_050_Small     =opt=           0  
./Addition_052_Small     =opt=           0  
./Addition_064_Small     =opt=           0  
./Addition_066_Small     =opt=           0  
./Addition_067_Small     =opt=           0  
./Addition_068_Small     =opt=           0  
./Addition_069_Small     =opt=           0  
./Addition_070_Small     =opt=           0  
./Addition_082_Small     =opt=           0  
./Addition_083_Small     =opt=           0  
./Addition_085_Small     =opt=           0  
./Addition_090_Small     =opt=           0  
./Addition_100_Small     =opt=           0  
./Addition_104_Small     =opt=           0  
./Addition_105_Small     =opt=           0  
./Addition_107_Small     =opt=           0  
./Addition_109_Small     =opt=           0  
./Addition_110_Small     =opt=           0  
./Addition_111_Small     =opt=           0  
./Addition_128_Small     =opt=           0  
./Addition_129_Small     =opt=           0  
./Addition_130_Small     =opt=           0  
./Addition_132_Small     =opt=           0  
./Addition_133_Small     =opt=           0  
./Addition_152_Small     =opt=           0  
./Early_005_Small        =opt=           0  
./Early_010_Small        =opt=           0  
./Late_005_Small         =opt=           0  
./Middle_002_Small       =opt=           0 
