# instance    status  value
./Addition_000_Medium   =opt=   0
./Addition_003_Medium   =opt=   0
./Addition_005_Medium   =opt=   0
./Addition_007_Medium   =opt=   0
./Addition_015_Medium   =opt=   0
./Addition_016_Medium   =opt=   0
./Addition_018_Medium   =opt=   0
./Addition_020_Medium   =opt=   0
./Addition_024_Medium   =best=  -
./Addition_025_Medium   =best=  -
./Addition_027_Medium   =best=  -
./Addition_028_Medium   =opt=   0
./Addition_029_Medium   =opt=   0
./Addition_030_Medium   =opt=   0
./Addition_032_Medium   =opt=   0
./Addition_034_Medium   =opt=   0
./Addition_035_Medium   =opt=   0
./Addition_043_Medium   =opt=   0
./Addition_044_Medium   =opt=   0
./Addition_046_Medium   =opt=   0
./Addition_047_Medium   =best=  -
./Addition_048_Medium   =opt=   0
./Addition_050_Medium   =opt=   0
./Addition_052_Medium   =opt=   0
./Addition_064_Medium   =opt=   0
./Addition_066_Medium   =opt=   0
./Addition_067_Medium   =opt=   0
./Addition_068_Medium   =opt=   0
./Addition_069_Medium   =opt=   0
./Addition_070_Medium   =opt=   0
./Addition_082_Medium   =opt=   0
./Addition_083_Medium   =opt=   0
./Addition_085_Medium   =opt=   0
./Addition_090_Medium   =opt=   0
./Addition_100_Medium   =opt=   0
./Addition_104_Medium   =opt=   0
./Addition_105_Medium   =best=  -
./Addition_107_Medium   =opt=   0
./Addition_109_Medium   =opt=   0
./Addition_110_Medium   =opt=   0
./Addition_111_Medium   =opt=   0
./Addition_128_Medium   =best=  -
./Addition_129_Medium   =opt=   0
./Addition_130_Medium   =opt=   0
./Addition_132_Medium   =opt=   0
./Addition_133_Medium   =opt=   0
./Addition_152_Medium   =opt=   0
./Early_005_Medium      =opt=   0
./Early_010_Medium      =opt=   0
./Late_005_Medium       =opt=   0
./Middle_002_Medium     =opt=   0
