# Node Net
 46   1
841   1
4879   1
770   1
3641   1
3710   1
3990   2
3570   2
4874   2
981   2
4865   2
  2   2
 54   3
3850   3
2520   3
4891   3
4843   3
4410   3
2801   4
4880   4
 33   4
4620   4
4691   4
2451   4
  3   5
4270   5
4760   5
2031   5
1540   5
4271   6
491   6
 38   6
1331   6
910   6
2870   7
  8   7
1541   7
4551   7
4852   7
490   8
2450   8
141   8
1260   8
 69   8
 30   9
4897   9
 59   9
 37   9
4864  10
4839  10
1050  10
 35  11
4854  11
4842  11
1610  12
 50  12
 39  12
