11	100
    7    69    21    25    67    52    59    29    80    32    25    74    49    95    72    48    65    43    57    77    80    91    97    17    11    58    49    93    82    80    70    20    11    78     4    14    44    89    77    15    13    59    23    73    86    74    92    60    98    31    66    68    38    37    16    38    68    61    17    83    80    57    84    18     0    45    42     5    66    14    20     3    90    22    43     5    55    63    98    94    80    96    29    76     2    56    25    65    96    87    27     1    15    19    26    50    31    42    74    12  2520
   19    77    69    95    79    87    33    36    21     9    69    23    57    73    19    38    61    68    74    43    86    12    60    11    40     6    86    24    74    95    20    92    14    86    83     2    51    65    19    23    89    67    52    56    65    59    64    92    97    70    65    57    70     6    48    37    42    52     8    98    17    21    97    63    82    66    40    51     6    39    61    27     0     7    81     0    21    58    72    57    41    41    43    36    12    79    69    18    40    76     1    90    79    17    83    76    11    89    38    16  2507
   25    23     7    36    88    26    16    51    25     1     9    48    64    19    50    50    11    40    36    91    82    85    69    53    53    29    33    46    33    85     7    84    93    56    15    11    37    71    27     4    47    49     4     8     9    83    20     5    54    73    36    91    66    49    14     8    96    33    91     7    20    40    74    73    76    65    30    95    12    51    10     9    87    71    15    70    52    53    71    82    22    43    55    30    24    13    93    56    22     4     7    27    15    64    33    96    91    72    52    82  2244
   57    62    65    78    33    98    36    23     6     0     2     6    82    26    58    51    53    45    17    92    12    86    36    33    13    22    32    40    64    71    76    38     7     7    63    28     6    23    94    81    18    82    41    37    78    18    15    23    55     0    78    49    47    86    40    20    12    40    55    17    82    71     9    47    29    47    82     4    16    49    90    12    63    20    50    83    14    72    54    34    84    47    29    27    88    50     4    64    22    67    31    37    31    47    15    51     9    77    10    39  2145
   41    89    78    77    35    70    12    41    53    31    36    43    69     4    80    89    10    34    91    36     4    65    36     8    43    60    65     7     5    71    16     2    27     0    63    22    81    65    90    34    27    31    88    42    91    68    61    25    15    24    69     3     1    66    31    91    96    55    63     4    51    85    27    25    42    77    33    57    78     4    66    44     6    25    46    35    86    42     6    36    12    10    41    39    56    64     2     5    78    58    20    20    48    79    19    60     1    45    15    35  2156
   56     7    49    10     0    45    96    76    61     9    93     5    77     6    75     0    59    15    72    29    77    62    38    68     5    28    52    79    74    85    77    28    46    80    46    55    39    76    70     0    67    96    42    98     5     4    69    55    76    59    61    61    63    38     4    82    91    32     3    40    42    40    58    28    20     5    18    30    49    45    57     2    34    26    56     4    29    15    52     9    73    96    76    25     6    85    41    83    32     9     8    49     3    98    11    90    31    67    76    14  2281
    3    91     7    87    39    67    41    84    25    68    86    67    11    58    42     5    44    27    12    96    26    31    53    15     7    86    39    16    44    88    62    77    41    29    28    90    43    40    81    74    79    46    89    87    89    27    48    60    68    42    90    38    63    11     5    16    69    15    32    32    86    20    81     1    25    44    35    70    81     0     7    27     3    75    60    84    43    44    13    75    34    70     7    32    22    98    97    79    98    42    84    43    48    80    39    11    82    86    36    91  2494
   89    80    28    33    32    43    25    28    29    14    86    91    32    85    10    12    90     3    56    65     0    23    96    34    60    42    31    64    95    20    69    67    63    72    98    12    70    15    28    66    60    12    41    78    46    41    48     6    54    31    35    97    49    60    53     1    58    31    91    63    67    52    21    95    62    33    97    45    73    41    65    68    53    36    22    70    71    54    24     3    37    46    39    52    59    52    53    61    20    75    74     3    35    87    41    73    95     5    33    81  2492
   52    90    37    95    51    42    40    60    18    59    68    57    10    56    53    50    37    31    17    92    59    16    47    17    68    65    14    92    86     2    97     0    16    14    51    32    12    17    76    77    64    82    17    68    69    93    78    54    25    55    11    58    94    98    53    57     0    35    53     9    65    72     9     1    87     8    78    64    61    17    14    83    83    87    58    25    46     0     2    45    68    36     9    34    40    58    26    56    38    90    82    47     2    29    72    86    41    55    69    93  2441
   86    79    27    47    39    12    95     2    93    50    80     4    11    94    81    68    18     0     9    82    84    12    94    70    22    75    94    25    86    64    47    61    47    76    40    84    20    17    15    15    57    29    11    55    25    93    54    28    30    56    43    84     8    42    36    46    33    50    23    50    33     5    15    54    78    82    98    16    25    17    58    97    71    82    18    26    44     6    21    82    26    37    67    33    52    18     5    55     0    93    46    78    93    36    91    29    42     3    33    97  2370
   89    91     9    83     7    71    12    20    11    26    76    40    67    66    68    36    96    83    20    46    47    60    33     5    26     2    50    91    68    70    90    67    82    28    94    12    23    18    57    93    67    19    37    90    87    84     6    79    38    40    88     8    63    10    64    54    39    64    49    15    52    23    96    46    17    23    11    28    11    18    11    75    65     3    39    59    31     2    85     8    46    12    26    74    94     5    90    57    95    40    58    42    56    46    13    63    25    87    95     2  2381
# Solution: 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0
