9	80
    1     3    90     8    90    19    73    64    73    57     5    18    85    21    72    31    30    34    60    55    19    62    44     1    57     8    18    32    72    24     4     3    58    90    25    43    15    60    42     4    19    79    54    80    34    83    80    90    94    75     6    87     2    34    94    88    14    53    93    10    54    28    84    35    72    76     4    84    45    17    33    51    63    19    39    10    47    27    31    32  1795
   97    53    77    30    92    83    29    86     6    49    70    55    18    76    23    51    11     7    41    96    52    74    21    21    15    71    28    97    31    17    54    25    58    34    27    28    63    87    48    59    17    19    47    27    26    49    77    12    41    81    66    30     2    77    77    64     1    87    39    57    60    44    92    21    25    37    46    55    82    61    42    24    37    96    34     6    26     5    52    82  1891
   48    11    74    26    11    94    16    64    71     2    52     2     5    39    27    21    55    33    83    86    36    24    67    70    62    13    80    65    45    62    80    85    48     0    67    36    37    73    17     3    42    65    76    30    44    56    17    52    53    94     2    64    17     8    68    69    15    90    80    68    25    13    63    60    57    84    18    62    34    47     3    53    87    49    51     8    86    42    59    48  1874
   54    56    13    60     1    13    44     4    77    44    26     9     9    65     0     8    73    13    79    64    61    91    70    33    81    58    91    57    94     5    13    68    25     5    42     0    39    10    80    73    92    14    31    91    21    87    85    15     0    40    78    82    78    17    84    71     7    66    77    53    13    96    23    88    85    86     6    43    29    16    94    18    16    89    70     6    63    79    72    68  1928
   61    82    61    28    61    58    61     9    91    50    56    47    62    30    70     2    41     4    20    47    89    27    75    20    78    37    64    96    12    22    79    20    89    23    42    50    52    18     1    65    72    95    13    33    63    47    62    96    28    40    49    40    75    53    41    24    85    39    94    59    95    65    63     9    92    37    10    15    26    33    82    17    30    46    51    54    38    63    34    19  1943
   22    45    22    61    34    20    20    69    61    41    31    62    70    29    56    38    21    81    72    98     1    28    65    39    73    39    59    33    17    98    15    41    71    65    50    76     2    40    68    70    24    50    98    54    35     2    75    71    68    49    94    73    45    72    13    26     7     4    47     3    84    77    94    96    82    21    31    67    35    27     8    10    42    48    10    94    19    33    17    90  1899
   25    20     1    21    51    87    32    37    69    11    57    43    12    24    43    85    55    25    52    90    89    71     7    25    58    76    93    52    37    57     9    96    32     1    68    74    70    19    69    36    61     4    52    16    71    25    32    16    75    72    48    73     9    61    37    60    27     8    22    71    52    78    69    22    66    10    80    75    64    25    22    84    14    39    60     3    11    79    27    70  1834
   87    50    54    64    49    75    28    13    72    37    47    43    42    40    77    30    65     0    20    40    48    48    80    34    70     4    61     4    66    13    46    72    97    23    37     0    60    45    66    20    22    50    38    17    64    55    22    78    56    78    30    89    87    53    91    93    96    42    72    84    97    54     7     8    54    21    81    30     3    46    28    16    63    55    81    63    72    91    58    53  2012
   13    31    50    22    29     8     2     5    20    55     8    17    96    26     4    35    78    72    49    24    41    72    87     9     3    32    57     6    66    10    59    48    59    28    86    82     2    13    74    19    84    24    70    15    73    95     4    74    72    90    69    26    62    62    79     6    89    20    15    69    95    48    43    15    66    43    18    31    82    97    37    66    84    33    35     1    36    77     4    97  1801
# Solution: 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 0 1 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 0
