10	90
   48    38    15     3    21    22    15     6    30     6     8    48    39    40    37    30     5    40    14    47    12    14    20    26    47    34    10    12    33    26    29    14    39    16    12    36    24     3    35    24    32    21    28    38    39    11     2     8     5    28    24    46    40    39    34    10    46    38    48     7    22    44    38     7     6    29    45    36    42    37    45    30     2    15    32    33    19    18     7    19    33    30     8    41    39    28    41     8    44    22  1171
   21     2    32     5    10    48    48    11    21     2    27    31     0    46    40    47    14    37     1    28    12    32    47    43    13     0     7     9    13    24    15    21    36     6     9    38    34    47    39    43    16    18    10     4    34    11    28    36     9    19    30    34    36    21    42     7    29     5    19     3    42    11    36    47    10    45     7    42    41     1    25    32     9    11    44    33    26    27    32    29    32    45     1    34    32    28    34     3    24    18  1085
   21    26    36    48     8    10     0    31    40    32    20    25     3    19    30    13    44     3    40     0    10    28     4    28    20    20    21    18     6    39    34     8    20    37     0    48    39     8    41    37     5    44    19     8    12    11     3    17    43    13     8    25    12     0     4    23    31     9    36    24     5    20    17    45    40    42    34    26    26    14    16    22    16    42     3    41     2    27     7     5    18    35    13    46    23    24    47     4     4    41   983
    9     2    26    25    18    45    32    24     7     4     2    16    45     3     9    19    25    36    37    32    14     0     6    25     4     4    43    35     7    34    36    26    35    40    10    21    27    14    12     6    46    27    11     2     3    13     7    32    16    47    45    35    25    40    28    30    32    39    16    48    17    11     3    47     1     3    41    42    29    25    26    22     8    45     5    13    18    16     6    11    16    19    31    35    37    18     3     3    31    14   976
    3    11    46    40    10    40    20    18    38     9     7    11    27     0    38    24    23    43    20     8     6    20    27     8    40    35     4    23    14    23    40     2     7    24    44     5    31     9    24    41     7    36    26    17    41    23    14    13    43    24     2    31    11    33    15    18    15    23     7    25     4    38     5    19    20    44    39    38    17    34     6    20    26    15    18    21    34    33    39    44     5    17    45    18     2    32    18     4    21    29   996
   32     3     2    35     8     1    13     0    31    11    40    32    44    16    13    15    43    20    45     2    30    12    32    12    34     1     0     7    15    45    47    27    31     2    25    42    13    12    21    38    16    28    38     2    32    22     3    12    22    17    42    20     3    17     6     5    20    19    27    32     1     2    38    28    10     9    23    39     9    29     0    22     7    17    27     3    14     5     0    22    47    37    30     4    46     2    38     3    37     0   892
   29    14    35     7    38    31    18    33     2    14    26    39    37    42    38    14    22    39    22    27    19    38    34     0    33    47    20     1     2     2    34    27    38    29    30    30    31    19     2    40    45    15     1    19    21    20    28    13     9     2     9    15    24    22    28    48    17    13    27     2    24     7    26     4    36    47    38    12     3    42    20    41    16     4     3    24     1    48     5    44    15    33    37     7     1    45     3    43    19    33  1031
   20    42    12    34    42    33     5    28    21    48    22    13     6     7    13    15    26     7    43    43    19     8    21     3    30    38    20    14    14    44    21    19    40    37    39    22    44    43    44    13    24    30    33    21    45    19    31     5     2     8    34    47    15    16    42    10    40     0    12    21    17    34    40    48     3    13    48    37    30    41    21    22     6    37    17    34     3    15    11     0     1    39     2    21    41    21    24    39    19     5  1078
   40    42    18    45    44    40    13    42    15    21    35    14    14     6    16    45    16    42     5     5    45     1    27    32    47    11     0    17    29    21    15    31    47    10    34    33    31    36    48     6    34     7    14    32    29     6    20    38    22    20    24     2    27    15    17    48    24    29    26     0    28    15    45    31    33    26    10    47    30    16    48    22    36    20    32    33    26    18    10    34    12    26    11     1    18    23    19    26    29    25  1111
   26    30    44    37    36     1    17    43    20    36    47     2    16    40    25    10    18    47    25    21    20    29    14    29    34    28     5    28    26    25    18    15     8    45    29     7    23     8    34    32     7    45    42     1    48     0     7     7    25    16     6     8    37    38    32    40     8    33    34    46    38    26    12    27     5    28    46     0    26    28     0    17    26     4    32    35     4     0    43     3    38    31    30     8     7    41    41    43    28    12  1078
# Solution: 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0
