9	80
    6    31    28    48    25    32     8     2    45     8    10    26    40    38    16    16    31     2    38    15    48    21    22    15     6    30     6     8     2    39    40    37    30     5    40    14    47    12    14    20    26     3    34    10    12    33    26    29    14    39    16    12    36    24    47    35    24    32    21    39    38    39    45     3     8    46    28    24    46    40    39    34    10     5    38    48     7    22    44    38  1017
    7     6    29    11    36    42    37     8    30    48    15    32    33    19    18     7    19    33    30    45    41    39    28    41     8    44    22    21     2    32     7    10     1     0    11    21    48    27    31     2    46    40     4    14    37     1    28    12    32    47    43    13     0     7     9    13    24    15    21    36     6     9    38    34    47    39    43    16    18    10    47    34    11    28    36     9    19    30    34    36   963
   21    42     5    29     5    19     3    42    11    36    47    10    20     7    42    41     1    25    32     9    11    44    33    26    27    32    29    32    45    48    34    32    28    34     3    24    18    21    26     4     0     8    10    48    31    40    32    45    25     3    19    30    13    44     3    40    48    10    28    36    28    20    20    21    18     6    39    34     8    20    37     0     0    39     8    41    37     5    44    19   977
    8    17    11     3    12    43    13     8    25    12    47     4    23    31     9    36    24     5    20    17    45    40    42    34    26    26    14    16    22    16    42     3    41     2    27     7     5    18    35    13     2    23    24     0     4     4    41     9    47    26    36    18    45    32    24     7     4    46    16    45     3     9    19    25    36    37    32    14     2     6    25     4     4    43    35     7    34    25    26    35   858
   40    10    21    27    14    12     6    46    27    11     2     3    13     7    32    16    47     3    35    25    40    28    30    32    39    16    48    17    11     3     0     1     3    41    42    29    25    26    22     8    45     5    13    18    16     6    11    16    19    31    35    37    18    45     3    31    14     3    11    46    40     8    40    20    18    38     9     7    11    27     0    38    24    23    43    20    10     6    20    27   855
    8    40    35     4    23    33    23    40     2     7    24    44     5    31     9    24    41     7    36    26    17    41    23    14    13    43    24     2    31    11    14    15    18    15    23     7    25     4    38     5    19    20    44    39    38    17    34     6    20    26    15    18    21    34    33    39    44     5    17    45    18     2    32    18     4    21    29    32     3     2    35     8     1    13     0    31    11    40    32    44   877
   16    30    15    43    20    45     2    13    12     7    12    34     1    47    32    15    45     0    27    31     2    25    42    13    12    21    38    16    28    38     2    32    22     3    12    22    17    42    20     3    17     6     5    20    19    27    32     1     2    38    28    10     9    23    39     9    29    47    22     7    17    27     3    14     5     0    22     0    37    30     4    46     2    38     3    37     0    29     7    35   801
   14    38    31    18    33     2    14    26     7    37    42    38    14    22    39    22    27    19    38    34    48    33     2    20    48    47     2    34    27    38    29    30    30    31    19     2    40    45    15     1    19    21    20    28    13     9     2     9    15    24    22    28     1    17    13    27     2    24    39    26     4    36    47    38    12     3    42    20    41    16     4     3    24     1     0     5    44    15    33    37   920
    7    45     0    44    43    19    33    20    19    12    34    42    33     5    28    21     2    22    13     6     7    13    15    26     7    44    43    42     8    21    43    30    38    20    14    14    44    21    19    40    37    39    22     3    43     3    13    24    30    33    21     1    19    31     5     2     8    34    47    15    16    42    10    40     0    12    21    17    34    40    45     3    13     1    37    30    41    21    22     6   919
# Solution: 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 1 1 0
