10	90
   75    93    69    18    35    73    12    20    57    40    82    86    91    17    69    94    56    51    83    32     1    64    63    90     4    62    65    89    53    57    98    60    73     0    81    12    27    73    40    75    58    59    40    93     8    66    58    45    17     5    49    69    33    52    82    53    86    65    70    39    93    79    34     5    13    78    42    27    15    97    64    43    84    83    79    15    19    81    93    70    48    19    33    74    90    64    91    42    88    98  2524
   64    26    93    47    60    58    40    89    19    41     2    18    29    63    48    65    16    17    74    52    87    80    95    46    38    31    17    30    86    90    89    97    16    44    81    89    51    84    66    36     0    69    75    68    67    66    77    47    90    85     8     5    16    24    85    93    62     5    92     5    70    72    20    17     2    33    19    97    26    46    73    89    38    40    57    90    59    56    87     3    62    68    11    74    10    15    52     8    40    73  2310
   88    47    26    26    79    55    95    64    21    45     7    24    56     8    10    54    97    63    34    50    67    69    74    44    98    52    76    94    51    10    36    37     0    65    12    34     4    49    14    88    73    51    42    28    27    14    20    43    15    35    13    37    88    96    94    81     9    63    72    74    26    39     1     1    58    38    18    27    74    71    17    59    26     2    42    57    85    18    94     4    37    57     9    61    74     6    92    53    38    55  2068
   21    17    28    21    18    84    59    31    28    62     1    19    97    49     9    83    35    33    21    93    70    50    89    58    12    80    31    68     7    87    12     1    10    69    86    59    10    49    75    51    55     5     6    20    72    45    15    83    69    39    15    32    53    55    49    61    72    81    89     3    94    72    84    71    33     1    81    72    26    87    60    94    23    95    65    15    87    10    82    20    51    14    53    33    87    68    83    88    14    32  2198
   19    17    27    11    14    59     4    91    92     7     8    53    67    80    30    56    22    90    61    16    97    65    11    48    77    32    87     8    96    27     3    51     4     1    30    71     5    56    64     1    90    53    84    89    76    46    84    15    19    91    84    11    15     8    53    74    60    20    90    88    62    46    12    90    92    70    89    68    51    66    66    44    24    75    80    87    94     4    49    87    81    40    45    75    71    62    33    63    67    65  2333
   76    87    42    73     2    71    97    60    38    12    55     0    79    24    52    15    10    22    27    13    74    13     3    78    20    10     2    30    87     4    77    45    28    69    74     4    33    96    41    41    50    91    44    51    54    74    77    23     2    39    25    47     2    81    58    83     6    83    17    38    13    70    71    22    63    66    77    92     3    18    81     6    48    16    78    14     6     2     6    60    35    30    51    65    47    48    22    66    23    61  1944
   85    47    19    33    81    30    66    10    36    51    46    19    60    49    32    25    22    43    43    66    44    58    51    13    53    72    21    74    98    85    31    79    36    73    97    27    91    10    92     4    10     0    37    93    76    42    52    84    16    94    39    66    46    31    16    50    36    56    34    47    27    35    64    64    76     3    27     4    58    97     3    12    47    20    43    53    74    91    69    12    25    76     5    21    26    43    73     8    36    63  2076
   84    46    85    88    58    72    76    40    28    80    31    34    76    29     1    84    57    33     1    89    38    50    32    19    18    77     1    17    33    90    40    12    52    12    22    76    35    98    97    50     5    98     7    94    86     9    87     2    45    41    32    59    40    14    32    12    19    61    71    93    93    14    31    15    60    11    44    24    92     9    53    91    33    53    52    33    75    26    21    19    63    88    54    53    94    44    56    26    72    41  2154
   37    75    54    37    66    39    35    88    20    18    88     6    53    97    31    15    57     4    54    10    85    24     5    68    13    12    91    57    50    75    24    59    88    79    33    35    40     3    72    63    14    55    74    44    52    96    64    79    15    92    57    63    44    90    38    29    87    67    19    60    58    24    48    42    19    60     2    39    98    24    27    18     7     8    25    93    40    60     3    83    41    44    58    11    90    38    19    33     7    91  2104
   29    15    29    64    73    27    96    92    75     5    95    30    51    47     0    52    46    34    54    23    46    96    16    87    65    42    58    50    67    49    81    18    83    78    26    48    57    81    29    56    18    84    34    63    36    26    13    27    66    89    78    68    79    76    76    51    86     4    82    93    23    46     0    26    81    48    62    98    87    77    48    26    30     5     8     5    58    17    31    39     8    87    81    84    57    68    66    12    15    41  2276
# Solution: 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 0
