# instance    status  value
./NoSoft/Addition_000_NoSoft     =best=  -
./NoSoft/Addition_003_NoSoft     =best=  -
./NoSoft/Addition_005_NoSoft     =best=  -
./NoSoft/Addition_007_NoSoft     =best=  -
./NoSoft/Addition_015_NoSoft     =best=  -
./NoSoft/Addition_016_NoSoft     =best=  -
./NoSoft/Addition_018_NoSoft     =best=  -
./NoSoft/Addition_020_NoSoft     =best=  -
./NoSoft/Addition_024_NoSoft     =best=  -
./NoSoft/Addition_025_NoSoft     =best=  -
./NoSoft/Addition_027_NoSoft     =best=  -
./NoSoft/Addition_028_NoSoft     =best=  -
./NoSoft/Addition_029_NoSoft     =best=  -
./NoSoft/Addition_030_NoSoft     =best=  -
./NoSoft/Addition_032_NoSoft     =best=  -
./NoSoft/Addition_034_NoSoft     =best=  -
./NoSoft/Addition_035_NoSoft     =best=  -
./NoSoft/Addition_043_NoSoft     =best=  -
./NoSoft/Addition_044_NoSoft     =best=  -
./NoSoft/Addition_046_NoSoft     =best=  -
./NoSoft/Addition_047_NoSoft     =best=  -
./NoSoft/Addition_048_NoSoft     =best=  -
./NoSoft/Addition_050_NoSoft     =best=  -
./NoSoft/Addition_052_NoSoft     =best=  -
./NoSoft/Addition_064_NoSoft     =best=  -
./NoSoft/Addition_066_NoSoft     =best=  -
./NoSoft/Addition_067_NoSoft     =best=  -
./NoSoft/Addition_068_NoSoft     =best=  -
./NoSoft/Addition_069_NoSoft     =best=  -
./NoSoft/Addition_070_NoSoft     =best=  -
./NoSoft/Addition_082_NoSoft     =best=  -
./NoSoft/Addition_083_NoSoft     =best=  -
./NoSoft/Addition_085_NoSoft     =best=  -
./NoSoft/Addition_090_NoSoft     =best=  -
./NoSoft/Addition_100_NoSoft     =best=  -
./NoSoft/Addition_104_NoSoft     =best=  -
./NoSoft/Addition_105_NoSoft     =best=  -
./NoSoft/Addition_107_NoSoft     =best=  -
./NoSoft/Addition_109_NoSoft     =best=  -
./NoSoft/Addition_110_NoSoft     =best=  -
./NoSoft/Addition_111_NoSoft     =best=  -
./NoSoft/Addition_128_NoSoft     =best=  -
./NoSoft/Addition_129_NoSoft     =best=  -
./NoSoft/Addition_130_NoSoft     =best=  -
./NoSoft/Addition_132_NoSoft     =best=  -
./NoSoft/Addition_133_NoSoft     =best=  -
./NoSoft/Addition_152_NoSoft     =best=  -
./NoSoft/Early_005_NoSoft        =best=  -
./NoSoft/Early_010_NoSoft        =best=  -
./NoSoft/Late_005_NoSoft         =best=  -
./NoSoft/Middle_002_NoSoft       =best=  -
