# Node Net
 49   1
 20   1
1620   1
3569   1
2281   1
2640   2
3559   2
 34   2
 43   2
 33   2
3121   3
3578   3
 46   3
 59   3
1380   3
660   4
3580   4
2760   4
3571   4
1261   4
 14   5
3587   5
2761   5
2280   6
3596   6
1561   6
300   7
 28   7
 26   7
361   8
2401   8
2400   8
1440   9
3300   9
  3   9
  2  10
 21  10
 44  10
1141  11
3550  11
 12  11
3061  12
721  12
3589  12
3585  13
3546  13
1500  13
1861  14
1320  14
  1  15
1081  15
2160  16
1801  16
3480  17
121  17
3540  18
3566  18
1441  19
1381  19
3577  20
1560  20
3593  21
1140  21
 15  22
360  22
