# Node Net
2041   1
2640   1
3559   1
 43   2
 33   2
3591   2
1261   3
3300   3
900   3
2281   4
 46   4
3563   4
3600   5
3121   5
3578   5
 59   6
1380   6
  7   6
1501   7
3567   7
2280   7
3576   8
3546   8
1861   8
3241   9
3001   9
3581   9
3553  10
  9  10
3560  10
2701  11
840  11
3589  11
361  12
3420  12
  3  12
 14  13
3587  13
2761  13
300  14
 28  14
 26  14
  2  15
 21  15
 44  15
1141  16
3550  16
 12  16
2461  17
1981  17
1980  18
1800  18
1081  19
 17  19
2160  20
1801  20
2581  21
1681  21
3480  22
121  22
3554  23
241  23
3540  24
3566  24
1441  25
1381  25
540  26
601  26
3577  27
1560  27
3584  28
1621  28
 15  29
360  29
1561  30
3564  30
